"source_id","count"
"S0004","461"
"S0007","416"
"S0009","713"
"S0010","63"
"S0011","658"
"S0018","127"
"S0020","5715"
"S0024","1377"
"S0025","346"
"S0029","189"
"S0034","513"
"S0035","4725"
"S0037","48"
"S0039","160"
"S0040","465"
"S0042","14936"
"S0043","11805"
"S0044","1177"
"S0046","5863"
"S0047","30"
"S0050","98"
"S0051","374"
"S0060","71"
"S0061","134"
"S0062","1170"
"S0073","333"
"S0075","1011"
"S0077","58"
"S0078","33"
"S0085","398"
"S0087","197"
"S0088","393"
"S0091","4"
"S0092","6"
"S0096","167"
"S0104","345"
"S0105","65"
"S0112","1017"
"S0113","2140"
"S0116","751"
"S0118","52"
"S0123","374"
"S0127","372"
"S0130","47"
"S0132","386"
"S0134","69"
"S0137","98"
"S0141","4588"
"S0142","638"
"S0144","84"
"S0145","43"
"S0147","60"
"S0154","733"
"S0157","195"
"S0160","60"
"S0161","55"
"S0168","135"
"S0170","35"
"S0172","240"
"S0174","3681"
"S0177","406"
"S0179","25"
"S0183","514"
"S0186","284"
"S0191","419"
"S0192","223"
"S0197","178"
"S0207","117"
"S0209","45"
"S0219","58"
"S0221","132"
"S0225","124"
"S0228","187"
"S0229","79"
"S0230","45"
"S0240","90"
"S0241","378"
"S0242","29"
"S0245","158"
"S0247","57"
"S0255","476"
"S0256","13"
"S0266","107"
"S0271","41"
"S0276","217"
"S0277","121"
"S0283","560"
"S0290","25"
"S0297","232"
"S0300","131"
"S0322","78"
"S0329","765"
"S0330","265"
"S0331","89"
"S0334","110"
"S0335","414"
"S0338","235"
"S0343","262"
"S0344","147"
"S0345","214"
"S0346","429"
"S0347","1"
"S0348","71"
"S0353","22"
"S0356","141"
"S0364","15"
"S0366","1313"
"S0369","306"
"S0371","2116"
"S0377","211"
"S0389","18"
"S0390","85"
"S0391","2949"
"S0392","172"
"S0393","18"
"S0394","1"
"S0397","74"
"S0398","93"
"S0399","308"
"S0400","37"
"S0401","1186"
"S0402","75"
"S0403","86"
"S0405","1148"
"S0407","292"
"S0408","74"
"S0409","37"
"S0410","172"
"S0411","1197"
"S0412","325"
"S0413","71"
"S0414","2"
"ST0123","1"
"ST0391","666"
