"source_id","count"
"S0004","31"
"S0007","30"
"S0009","10"
"S0010","20"
"S0011","7"
"S0018","14"
"S0020","12"
"S0025","2"
"S0029","26"
"S0034","34"
"S0035","5"
"S0037","14"
"S0039","23"
"S0040","3"
"S0042","45"
"S0043","71"
"S0044","80"
"S0046","76"
"S0051","15"
"S0062","16"
"S0073","1"
"S0075","10"
"S0077","12"
"S0078","9"
"S0085","14"
"S0087","12"
"S0088","19"
"S0096","10"
"S0104","27"
"S0112","29"
"S0113","22"
"S0123","13"
"S0127","23"
"S0130","1"
"S0132","16"
"S0134","9"
"S0137","17"
"S0141","11"
"S0142","18"
"S0144","6"
"S0145","2"
"S0147","5"
"S0154","1"
"S0160","3"
"S0168","7"
"S0170","14"
"S0172","16"
"S0174","28"
"S0177","16"
"S0179","3"
"S0183","8"
"S0186","6"
"S0191","4"
"S0192","9"
"S0197","25"
"S0207","5"
"S0209","3"
"S0219","3"
"S0221","11"
"S0228","12"
"S0229","4"
"S0230","1"
"S0240","36"
"S0241","6"
"S0242","12"
"S0245","35"
"S0255","9"
"S0266","14"
"S0276","3"
"S0283","52"
"S0290","3"
"S0297","12"
"S0300","7"
"S0329","66"
"S0330","20"
"S0331","3"
"S0334","2"
"S0335","4"
"S0343","2"
"S0344","4"
"S0345","5"
"S0346","21"
"S0348","2"
"S0353","1"
"S0356","8"
"S0366","176"
"S0369","7"
"S0371","169"
"S0377","17"
"S0389","2"
"S0390","3"
"S0392","20"
"S0399","16"
"S0402","10"
"S0403","1"
"S0405","23"
"S0407","8"
"S0408","1"
"S0409","1"
"S0410","1"
"S0411","1"
"S0412","6"
"S0413","1"
