"source_id","count"
"S0004","374"
"S0007","18"
"S0009","488"
"S0010","9"
"S0011","603"
"S0018","30"
"S0020","5590"
"S0024","929"
"S0025","68"
"S0029","40"
"S0034","182"
"S0035","4711"
"S0037","35"
"S0039","27"
"S0040","225"
"S0042","13903"
"S0043","11725"
"S0044","937"
"S0046","5784"
"S0047","30"
"S0050","21"
"S0051","34"
"S0060","1"
"S0061","133"
"S0062","823"
"S0073","230"
"S0075","208"
"S0077","46"
"S0078","1"
"S0085","38"
"S0087","51"
"S0088","97"
"S0091","4"
"S0092","6"
"S0096","30"
"S0104","44"
"S0105","63"
"S0112","373"
"S0113","75"
"S0116","610"
"S0118","51"
"S0123","15"
"S0127","32"
"S0130","7"
"S0132","206"
"S0134","3"
"S0137","32"
"S0141","37"
"S0142","590"
"S0144","12"
"S0145","36"
"S0147","14"
"S0154","7"
"S0157","7"
"S0160","19"
"S0161","28"
"S0168","29"
"S0170","3"
"S0172","33"
"S0174","3621"
"S0177","94"
"S0179","8"
"S0183","31"
"S0186","87"
"S0191","73"
"S0192","88"
"S0197","30"
"S0207","47"
"S0209","14"
"S0219","45"
"S0221","8"
"S0225","12"
"S0228","37"
"S0229","51"
"S0230","18"
"S0240","49"
"S0241","206"
"S0242","17"
"S0245","126"
"S0247","15"
"S0255","247"
"S0256","13"
"S0266","9"
"S0271","8"
"S0277","46"
"S0283","121"
"S0290","19"
"S0297","142"
"S0300","68"
"S0322","28"
"S0329","454"
"S0330","167"
"S0331","16"
"S0334","23"
"S0335","88"
"S0338","12"
"S0343","244"
"S0344","17"
"S0345","20"
"S0346","130"
"S0347","1"
"S0348","11"
"S0353","7"
"S0356","19"
"S0364","15"
"S0366","307"
"S0369","16"
"S0371","664"
"S0377","68"
"S0389","2"
"S0390","13"
"S0391","7"
"S0392","54"
"S0393","17"
"S0394","1"
"S0397","34"
"S0398","25"
"S0399","104"
"S0400","34"
"S0401","1177"
"S0402","56"
"S0403","32"
"S0405","261"
"S0407","85"
"S0408","13"
"S0410","65"
"S0411","66"
"S0412","2"
"S0413","13"
"S0414","1"
"ST0391","1"
