"source_id","count"
"S0004","20"
"S0007","7"
"S0009","5"
"S0010","2"
"S0011","3"
"S0018","4"
"S0020","19"
"S0024","49"
"S0025","10"
"S0029","9"
"S0034","18"
"S0035","35"
"S0037","4"
"S0039","2"
"S0040","4"
"S0042","4498"
"S0043","77"
"S0044","25"
"S0046","53"
"S0047","2"
"S0050","6"
"S0051","4"
"S0061","15"
"S0062","18"
"S0073","1"
"S0075","38"
"S0077","15"
"S0085","16"
"S0087","12"
"S0088","12"
"S0096","11"
"S0104","8"
"S0105","6"
"S0112","5"
"S0113","1"
"S0116","86"
"S0118","14"
"S0127","5"
"S0130","2"
"S0132","64"
"S0137","6"
"S0141","3"
"S0142","1"
"S0144","9"
"S0147","7"
"S0154","1"
"S0168","3"
"S0172","12"
"S0174","24"
"S0177","8"
"S0183","2"
"S0186","5"
"S0191","18"
"S0192","4"
"S0197","4"
"S0207","5"
"S0219","1"
"S0221","3"
"S0225","2"
"S0228","1"
"S0229","6"
"S0240","6"
"S0241","1"
"S0245","46"
"S0247","1"
"S0255","75"
"S0256","2"
"S0277","2"
"S0283","43"
"S0290","2"
"S0297","10"
"S0300","2"
"S0329","27"
"S0330","6"
"S0331","4"
"S0334","5"
"S0335","6"
"S0338","3"
"S0343","18"
"S0344","3"
"S0345","5"
"S0346","32"
"S0348","1"
"S0356","5"
"S0364","11"
"S0366","72"
"S0369","2"
"S0371","149"
"S0377","3"
"S0392","5"
"S0397","1"
"S0399","8"
"S0400","4"
"S0401","6"
"ST0391","1"
