"source_id","count"
"S0004","319"
"S0007","2"
"S0010","1"
"S0011","337"
"S0018","4"
"S0020","3573"
"S0024","896"
"S0025","22"
"S0035","3369"
"S0037","6"
"S0040","214"
"S0042","583"
"S0043","7952"
"S0044","540"
"S0046","2964"
"S0062","804"
"S0073","229"
"S0075","88"
"S0085","15"
"S0112","367"
"S0113","90"
"S0116","587"
"S0118","18"
"S0134","1"
"S0141","107"
"S0142","440"
"S0145","33"
"S0147","5"
"S0154","2"
"S0157","2"
"S0170","2"
"S0172","2"
"S0174","2183"
"S0177","67"
"S0192","72"
"S0197","6"
"S0229","54"
"S0241","219"
"S0242","1"
"S0247","6"
"S0256","4"
"S0266","1"
"S0276","1"
"S0290","9"
"S0297","97"
"S0300","63"
"S0329","457"
"S0330","169"
"S0338","8"
"S0356","12"
"S0364","11"
"S0392","19"
"S0397","36"
"S0399","23"
"S0401","679"
"S0402","44"
"S0403","37"
"S0405","145"
"S0408","7"
"S0410","30"
