"source_id","count"
"S0004","13"
"S0009","217"
"S0010","1"
"S0011","276"
"S0020","1393"
"S0024","117"
"S0025","3"
"S0029","13"
"S0034","2"
"S0035","266"
"S0039","25"
"S0040","30"
"S0042","88"
"S0043","2460"
"S0044","397"
"S0046","317"
"S0047","3"
"S0050","1"
"S0051","31"
"S0061","2"
"S0062","35"
"S0073","3"
"S0075","20"
"S0077","19"
"S0085","1"
"S0087","15"
"S0088","20"
"S0091","1"
"S0092","5"
"S0096","9"
"S0104","12"
"S0105","11"
"S0112","2"
"S0113","10"
"S0116","10"
"S0118","21"
"S0127","18"
"S0132","27"
"S0137","21"
"S0141","8"
"S0142","1"
"S0145","5"
"S0154","2"
"S0160","11"
"S0161","16"
"S0168","10"
"S0172","4"
"S0174","540"
"S0177","2"
"S0179","1"
"S0183","11"
"S0186","53"
"S0191","1"
"S0192","4"
"S0207","5"
"S0209","7"
"S0225","2"
"S0228","10"
"S0229","2"
"S0230","2"
"S0240","17"
"S0241","10"
"S0245","51"
"S0247","1"
"S0255","3"
"S0271","4"
"S0277","11"
"S0283","28"
"S0290","2"
"S0297","52"
"S0300","6"
"S0322","4"
"S0329","22"
"S0330","7"
"S0331","8"
"S0334","7"
"S0335","5"
"S0343","152"
"S0344","3"
"S0345","6"
"S0346","71"
"S0348","7"
"S0364","1"
"S0366","48"
"S0369","14"
"S0371","65"
"S0377","7"
"S0389","1"
"S0391","2"
"S0392","29"
"S0393","3"
"S0397","5"
"S0398","5"
"S0400","6"
"S0401","534"
"S0402","3"
"S0403","6"
"S0405","5"
"S0407","55"
"S0410","1"
"S0411","1"
