"source_id","count"
"S0004","23"
"S0009","1"
"S0011","46"
"S0020","2173"
"S0024","6"
"S0025","2"
"S0034","1"
"S0035","262"
"S0037","1"
"S0042","60"
"S0043","1083"
"S0044","6"
"S0046","196"
"S0050","1"
"S0051","32"
"S0061","1"
"S0062","1"
"S0075","9"
"S0077","1"
"S0087","4"
"S0088","1"
"S0096","12"
"S0104","19"
"S0105","13"
"S0112","1"
"S0116","1"
"S0118","1"
"S0132","62"
"S0137","20"
"S0141","3"
"S0142","256"
"S0145","5"
"S0154","2"
"S0161","20"
"S0172","3"
"S0174","34"
"S0177","2"
"S0179","1"
"S0183","15"
"S0186","50"
"S0191","1"
"S0192","3"
"S0197","2"
"S0225","1"
"S0228","9"
"S0229","1"
"S0230","17"
"S0240","25"
"S0241","30"
"S0255","3"
"S0266","2"
"S0271","4"
"S0277","16"
"S0283","28"
"S0329","6"
"S0330","1"
"S0334","3"
"S0335","29"
"S0343","229"
"S0345","10"
"S0346","81"
"S0356","1"
"S0366","46"
"S0369","19"
"S0371","12"
"S0377","1"
"S0389","2"
"S0391","4"
"S0392","1"
"S0393","3"
"S0398","5"
"S0401","2"
"S0405","2"
"S0410","1"
"S0411","3"
