DataSet,UsedIn
Business Review,Analysis: Business Review analysis
SaaS-Sales (1).csv,Analysis: Sales Analysis 2
SaaS-Sales (1).csv,Dashboard: Sales Overview
SaaS-Sales.csv,Analysis: Sales Analysis - NavyMutual
SaaS-Sales.csv,Analysis: Sales Analysis 2 - NavyMutual
SaaS-Sales.csv,Dashboard: Sales Overview
SaaS-Sales.csv,Dashboard: Sales - Enhanced NM
Web and Social Media Analytics,Analysis: Web and Social Media Analytics analysis
People Overview,Analysis: People Overview analysis
SF Agent LM,Analysis: Production - MASTER
SF Agent LM,Dashboard: Production - MASTER
ape_total_by_agent,Analysis: APE Dashboard - MASTER - v3 - In Progress
ape_total_by_agent,Analysis: APE - Vi Test
ape_total_by_agent,Analysis: Vi_APE.v2
ape_total_by_agent,Analysis: APE Dashboard - DECOMMISSIONED
ape_total_by_agent,Dashboard: APE_Dash2
SaaS-Sales.csv,Analysis: Sales-Backup
SaaS-Sales.csv,Dashboard: Sales
SF Call Summary + SF User,Dashboard: Member Services
Web and Social Media Analytics,Analysis: Web and Social Media Analytics analysis
Business Review,Analysis: Business Review analysis
offered,Dashboard: Customer Service
SaaS-Sales.csv,Dashboard: Sales Enhanced
SaaS-Sales.csv,Dashboard: Sales Overview
People Overview,Analysis: People Overview analysis
Sales Pipeline,Analysis: Sales Pipeline analysis
SaaS-Sales.csv,Dashboard: Sales Overview
SaaS-Sales.csv,Dashboard: Sales Enhanced NM
Business Review,Analysis: Business Review analysis
ape_acts_agent_daily_v2,Analysis: APE_Act_Daily_v2 - DURBIN
Business Review,Analysis: Business Review analysis
SaaS-Sales.csv,Dashboard: Sales Dashboard
Sales Pipeline,Analysis: Sales Pipeline analysis
Sales Pipeline,Analysis: Sales Pipeline analysis
Saas-Sales-Child,Analysis: SaaS-Sales Analysis - Dataset Swap
SF Case LM,Analysis: Production - MASTER
SF Case LM,Analysis: Sales Manager
SF Case LM,Dashboard: Production - MASTER
Web and Social Media Analytics,Analysis: Web and Social Media Analytics analysis
Business Review,Analysis: Business Review analysis
Sales Pipeline,Analysis: Sales Pipeline analysis
SaaS-Sales.csv,Dashboard: Terribly Formatted Dashboard - Test
SaaS-Sales.csv,Dashboard: Devlin's Cool Dashboard - Test
NM - Membership Data,Analysis: Membership
NM - Membership Data,Analysis: Membership Dashboard - MASTER
NM - Membership Data,Analysis: Membership - ADAM
NM - Membership Data,Dashboard: Membership
NM - Membership Data,Dashboard: Membership Dashboard (SPICE)
Web and Social Media Analytics,Analysis: Web and Social Media Analytics analysis
SaaS-Sales.csv,Analysis: Sales Analysis 2 NMAA
SaaS-Sales.csv,Dashboard: Sales Overview
SaaS-Sales.csv,Dashboard: Sales Enhanced NMAA
Sales Pipeline,Analysis: Sales Pipeline analysis
Sales Pipeline,Analysis: Sales Pipeline analysis
SaaS-Sales.csv,Dashboard: Sales Analysis 2
SaaS-Sales.csv,Dashboard: Sales Overview
Web and Social Media Analytics,Analysis: Web and Social Media Analytics analysis
People Overview,Analysis: People Overview analysis
New custom SQL,Analysis: New custom SQL analysis
New custom SQL,Analysis: New custom SQL analysis
