track_name,artist_name,genres,artist_id,track_id,popularity,album,release_date
Pulsate,Christian Smith,"['techno', 'minimal techno', 'tech house']",0Z2EpubIhxnq4B6PV0I8n3,05Z8c5pVeqT9bH1s9ftgTU,0,Pulsate,2022-03-25
The Parallel - Miss Monique Remix,Morttagua,"['progressive house', 'melodic techno', 'melodic house']",1XVL802tNy6tucST8spKOv,6IoSsOgcDI8BadBDp7AZ5E,14,The Parallel - Remixes,2021-12-17
Elements - EDX Radio Mix,Dinka,"['progressive house', 'progressive trance']",3jEWwtiifaWzV7ZcRduuxU,6GWQIewECrLcjgOqTQhibT,24,Elements (Remixes),2010-03-19
Voyager - Vocal Edit,Martin Merkel,"['melodic techno', 'acid house']",1Rz7poppWGpJYLzfRLjL3H,3kPMPDxomtVSNzACZp4S6A,12,Soulful Techno,2016-06-03
Final Attempt - Original Club Mix,Passenger 10,"['progressive house', 'melodic house', 'melodic techno']",1Rmh4YOuttbNyVthCkTokT,1OXeH61tSOyKdqlPRucbQX,0,Kamasutra EP,2019-08-02
Red Patterns,Drunken Kong,"['techno', 'minimal techno', 'acid techno']",2c8K7cdY2IU2jBacPOxYqk,3IxvOt8x3zd23hzokPskqW,4,Where We Start,2020-02-10
Steps,Jeremy Olander,"['progressive house', 'melodic techno', 'melodic house']",5vdjF79d5d2m12FOkJhxHB,1pIBxvFjjnp7tAKOTwA0Az,0,Steps,2020-06-05
Live Without Your Love (with Steve Lacy) - Mark Broom's Acid Mix,Love Regenerator,[],05KDKIpxshxrB9BMewaCBW,0P8saAbx49DNPOMNyYu3dx,15,Live Without Your Love (with Steve Lacy) [Remixes],2020-10-02
Razor - Radio Edit,Sebastian Weikum,"['synthwave', 'progressive house']",4xWupN4Z8DJwehAOfdS0CT,4RrcjyuGLrQ7BpHHJdiWJ7,2,Razor,2021-03-08
Out Back - Another Ambition Remix,Sebastian Weikum,"['synthwave', 'progressive house']",4xWupN4Z8DJwehAOfdS0CT,5Hgfg8fFh2ULEK42eNp6ud,17,Out Back,2016-10-24
Osmania,Passenger 10,"['progressive house', 'melodic house', 'melodic techno']",1Rmh4YOuttbNyVthCkTokT,0w01wALkj28OhGVI1ZSpLf,30,Osmania,2021-11-26
Astronautin - Boris Brejcha Remix,Stephan Bodzin,"['melodic techno', 'minimal techno', 'techno', 'melodic house']",2nq2BeSbzExGAv3Y4HgUf7,5tf6JcirHOEtUWQHLH82Ur,26,Astronautin (Boris Brejcha Remix),2022-02-25
Somewhere Out There,Sundriver,"['progressive trance', 'progressive house', 'trance']",3OKbvWLskv2IPnpFiL1BRr,4h29hCPGmubYjF44ueVvkX,23,The Journey,2021-01-29
Welcome to the Future,Moonwalk,"['melodic techno', 'melodic house', 'techno', 'minimal techno', 'progressive house']",1khyIydqanugacJyKdmceT,2WjZln2waY9zGmruH2rFru,8,Power of Universe,2022-11-11
Rolling Back - Durante Remix,TWO LANES,[],7mnuMLgvXdCWzyB4sQCG7k,4JqxcVfl4p9hMhFEybKawt,0,Rolling Back (Durante Remix),2021-12-10
Ale Ale,Eran Hersh,"['afro house', 'melodic house', 'organic house']",5cqctR1IEdc11lN3KEmoGW,1S8QEbg6QCTI5U4PDRSAtH,0,Ale Ale,2022-02-04
