track_name,artist_name,genre
Pulsate,Christian Smith,techno
Pulsate,Christian Smith,minimal techno
Pulsate,Christian Smith,tech house
The Parallel - Miss Monique Remix,Morttagua,progressive house
The Parallel - Miss Monique Remix,Morttagua,melodic techno
The Parallel - Miss Monique Remix,Morttagua,melodic house
Elements - EDX Radio Mix,Dinka,progressive house
Elements - EDX Radio Mix,Dinka,progressive trance
Voyager - Vocal Edit,Martin Merkel,melodic techno
Voyager - Vocal Edit,Martin Merkel,acid house
Final Attempt - Original Club Mix,Passenger 10,progressive house
Final Attempt - Original Club Mix,Passenger 10,melodic house
Final Attempt - Original Club Mix,Passenger 10,melodic techno
Red Patterns,Drunken Kong,techno
Red Patterns,Drunken Kong,minimal techno
Red Patterns,Drunken Kong,acid techno
Steps,Jeremy Olander,progressive house
Steps,Jeremy Olander,melodic techno
Steps,Jeremy Olander,melodic house
Razor - Radio Edit,Sebastian Weikum,synthwave
Razor - Radio Edit,Sebastian Weikum,progressive house
Out Back - Another Ambition Remix,Sebastian Weikum,synthwave
Out Back - Another Ambition Remix,Sebastian Weikum,progressive house
Osmania,Passenger 10,progressive house
Osmania,Passenger 10,melodic house
Osmania,Passenger 10,melodic techno
Astronautin - Boris Brejcha Remix,Stephan Bodzin,melodic techno
Astronautin - Boris Brejcha Remix,Stephan Bodzin,minimal techno
Astronautin - Boris Brejcha Remix,Stephan Bodzin,techno
Astronautin - Boris Brejcha Remix,Stephan Bodzin,melodic house
Somewhere Out There,Sundriver,progressive trance
Somewhere Out There,Sundriver,progressive house
Somewhere Out There,Sundriver,trance
Welcome to the Future,Moonwalk,melodic techno
Welcome to the Future,Moonwalk,melodic house
Welcome to the Future,Moonwalk,techno
Welcome to the Future,Moonwalk,minimal techno
Welcome to the Future,Moonwalk,progressive house
Ale Ale,Eran Hersh,afro house
Ale Ale,Eran Hersh,melodic house
Ale Ale,Eran Hersh,organic house
Euphoria - Extended Mix - Mixed,Cherry (UA),melodic techno
Euphoria - Extended Mix - Mixed,Cherry (UA),melodic house
Euphoria - Extended Mix - Mixed,Cherry (UA),progressive house
Euphoria - Extended Mix - Mixed,Cherry (UA),indie dance
Ready For More,Korolova,melodic techno
Ready For More,Korolova,melodic house
Ready For More,Korolova,progressive house
Annihilation - Radio Edit,RoelBeat,melodic techno
Annihilation - Radio Edit,RoelBeat,indie dance
Annihilation - Radio Edit,RoelBeat,melodic house
Annihilation - Radio Edit,RoelBeat,progressive house
Instant,Arude,melodic techno
Instant,Arude,melodic house
Instant,Arude,progressive house
For You - Extended Mix,Austin Pettit,progressive house
For You - Extended Mix,Austin Pettit,melodic techno
The Loved Are Never Lost,Trilucid,melodic house
The Loved Are Never Lost,Trilucid,progressive house
The Loved Are Never Lost,Trilucid,organic house
The Loved Are Never Lost,Trilucid,melodic techno
Warp Speed - Radio Edit,Marksman,melodic house
Warp Speed - Radio Edit,Marksman,melodic techno
Warp Speed - Radio Edit,Marksman,progressive house
Requiem,Bound to Divide,melodic house
Requiem,Bound to Divide,progressive house
Requiem,Bound to Divide,deep house
Rover,Two Are,melodic techno
Rover,Two Are,progressive house
