track_id,track_name,artist_name,album,release_date,album_image_url,spotify_url,bpm
05Z8c5pVeqT9bH1s9ftgTU,Pulsate,Christian Smith,Pulsate,2022-03-25,https://i.scdn.co/image/ab67616d0000b2730076a060fe5297959397114a,https://open.spotify.com/track/05Z8c5pVeqT9bH1s9ftgTU,
6IoSsOgcDI8BadBDp7AZ5E,The Parallel - Miss Monique Remix,Morttagua,The Parallel - Remixes,2021-12-17,https://i.scdn.co/image/ab67616d0000b273b9e665679641f35d40f46ce1,https://open.spotify.com/track/6IoSsOgcDI8BadBDp7AZ5E,
6GWQIewECrLcjgOqTQhibT,Elements - EDX Radio Mix,Dinka,Elements (Remixes),2010-03-19,https://i.scdn.co/image/ab67616d0000b273ce595b07ce80374df6597c55,https://open.spotify.com/track/6GWQIewECrLcjgOqTQhibT,
3kPMPDxomtVSNzACZp4S6A,Voyager - Vocal Edit,Martin Merkel,Soulful Techno,2016-06-03,https://i.scdn.co/image/ab67616d0000b27378bf03d914acd59b096af872,https://open.spotify.com/track/3kPMPDxomtVSNzACZp4S6A,
1OXeH61tSOyKdqlPRucbQX,Final Attempt - Original Club Mix,Passenger 10,Kamasutra EP,2019-08-02,https://i.scdn.co/image/ab67616d0000b2736fd1b88741a6d7edcb98bc42,https://open.spotify.com/track/1OXeH61tSOyKdqlPRucbQX,
3IxvOt8x3zd23hzokPskqW,Red Patterns,Drunken Kong,Where We Start,2020-02-10,https://i.scdn.co/image/ab67616d0000b273943267b44212e324b6464f25,https://open.spotify.com/track/3IxvOt8x3zd23hzokPskqW,
1pIBxvFjjnp7tAKOTwA0Az,Steps,Jeremy Olander,Steps,2020-06-05,https://i.scdn.co/image/ab67616d0000b273343d624604beb1b013fcb7ed,https://open.spotify.com/track/1pIBxvFjjnp7tAKOTwA0Az,
0P8saAbx49DNPOMNyYu3dx,Live Without Your Love (with Steve Lacy) - Mark Broom's Acid Mix,Love Regenerator,Live Without Your Love (with Steve Lacy) [Remixes],2020-10-02,https://i.scdn.co/image/ab67616d0000b273f5e7d26025eb90cb86650b98,https://open.spotify.com/track/0P8saAbx49DNPOMNyYu3dx,
4RrcjyuGLrQ7BpHHJdiWJ7,Razor - Radio Edit,Sebastian Weikum,Razor,2021-03-08,https://i.scdn.co/image/ab67616d0000b273ebacefaf67603553ec89ec32,https://open.spotify.com/track/4RrcjyuGLrQ7BpHHJdiWJ7,
5Hgfg8fFh2ULEK42eNp6ud,Out Back - Another Ambition Remix,Sebastian Weikum,Out Back,2016-10-24,https://i.scdn.co/image/ab67616d0000b27389614afe6c397d2b3a25a0ac,https://open.spotify.com/track/5Hgfg8fFh2ULEK42eNp6ud,
0w01wALkj28OhGVI1ZSpLf,Osmania,Passenger 10,Osmania,2021-11-26,https://i.scdn.co/image/ab67616d0000b27377f8473a72230bfd2492a4a7,https://open.spotify.com/track/0w01wALkj28OhGVI1ZSpLf,
5tf6JcirHOEtUWQHLH82Ur,Astronautin - Boris Brejcha Remix,Stephan Bodzin,Astronautin (Boris Brejcha Remix),2022-02-25,https://i.scdn.co/image/ab67616d0000b2733d06943958fad8b68cdb8262,https://open.spotify.com/track/5tf6JcirHOEtUWQHLH82Ur,
4h29hCPGmubYjF44ueVvkX,Somewhere Out There,Sundriver,The Journey,2021-01-29,https://i.scdn.co/image/ab67616d0000b273fa6ca5e67bb07a03ff41024c,https://open.spotify.com/track/4h29hCPGmubYjF44ueVvkX,
2WjZln2waY9zGmruH2rFru,Welcome to the Future,Moonwalk,Power of Universe,2022-11-11,https://i.scdn.co/image/ab67616d0000b273c334a7aa75f294cd3581d60f,https://open.spotify.com/track/2WjZln2waY9zGmruH2rFru,
4JqxcVfl4p9hMhFEybKawt,Rolling Back - Durante Remix,TWO LANES,Rolling Back (Durante Remix),2021-12-10,https://i.scdn.co/image/ab67616d0000b273e0c611a563c0246293a1fd73,https://open.spotify.com/track/4JqxcVfl4p9hMhFEybKawt,
1S8QEbg6QCTI5U4PDRSAtH,Ale Ale,Eran Hersh,Ale Ale,2022-02-04,https://i.scdn.co/image/ab67616d0000b273df77c8c0fc60a6fd2cfc77ce,https://open.spotify.com/track/1S8QEbg6QCTI5U4PDRSAtH,
1vMSKcmSK4iSxFKWNEgPhe,Euphoria - Extended Mix - Mixed,Cherry (UA),Visceral 110 (DJ Mix),2022-09-30,https://i.scdn.co/image/ab67616d0000b2735e93282de56ab8663cbfdebd,https://open.spotify.com/track/1vMSKcmSK4iSxFKWNEgPhe,
