track_id,track_name,artist_name,album,release_date,bpm
05Z8c5pVeqT9bH1s9ftgTU,Pulsate,Christian Smith,Pulsate,2022-03-25,
6IoSsOgcDI8BadBDp7AZ5E,The Parallel - Miss Monique Remix,Morttagua,The Parallel - Remixes,2021-12-17,
6GWQIewECrLcjgOqTQhibT,Elements - EDX Radio Mix,Dinka,Elements (Remixes),2010-03-19,
3kPMPDxomtVSNzACZp4S6A,Voyager - Vocal Edit,Martin Merkel,Soulful Techno,2016-06-03,
1OXeH61tSOyKdqlPRucbQX,Final Attempt - Original Club Mix,Passenger 10,Kamasutra EP,2019-08-02,
3IxvOt8x3zd23hzokPskqW,Red Patterns,Drunken Kong,Where We Start,2020-02-10,
1pIBxvFjjnp7tAKOTwA0Az,Steps,Jeremy Olander,Steps,2020-06-05,
0P8saAbx49DNPOMNyYu3dx,Live Without Your Love (with Steve Lacy) - Mark Broom's Acid Mix,Love Regenerator,Live Without Your Love (with Steve Lacy) [Remixes],2020-10-02,
4RrcjyuGLrQ7BpHHJdiWJ7,Razor - Radio Edit,Sebastian Weikum,Razor,2021-03-08,
5Hgfg8fFh2ULEK42eNp6ud,Out Back - Another Ambition Remix,Sebastian Weikum,Out Back,2016-10-24,
0w01wALkj28OhGVI1ZSpLf,Osmania,Passenger 10,Osmania,2021-11-26,
5tf6JcirHOEtUWQHLH82Ur,Astronautin - Boris Brejcha Remix,Stephan Bodzin,Astronautin (Boris Brejcha Remix),2022-02-25,
4h29hCPGmubYjF44ueVvkX,Somewhere Out There,Sundriver,The Journey,2021-01-29,
2WjZln2waY9zGmruH2rFru,Welcome to the Future,Moonwalk,Power of Universe,2022-11-11,
4JqxcVfl4p9hMhFEybKawt,Rolling Back - Durante Remix,TWO LANES,Rolling Back (Durante Remix),2021-12-10,
1S8QEbg6QCTI5U4PDRSAtH,Ale Ale,Eran Hersh,Ale Ale,2022-02-04,
1vMSKcmSK4iSxFKWNEgPhe,Euphoria - Extended Mix - Mixed,Cherry (UA),Visceral 110 (DJ Mix),2022-09-30,
0OQF6YgMW5gOe8k4wfvLRJ,Ready For More,Korolova,Ready For More,2021-12-10,
4io4CQ89K9w8z623duQVAX,Annihilation - Radio Edit,RoelBeat,Annihilation,2021-04-09,
3WJJk1goyW5chCYFe85H9s,Instant,Arude,Instant,2020-08-14,
1JgOrERvvcWRW1gxUn2QJK,For You - Extended Mix,Austin Pettit,For You,2022-03-04,
3WdzsAb3OzEBrQArVgrmSA,The Loved Are Never Lost,Trilucid,The Loved Are Never Lost,2022-07-15,
7EpvUIMMbp42BG3IPAz0Ea,Warp Speed - Radio Edit,Marksman,Warp Speed,2021-12-10,
7FMdqH7LpnfdZK7vMwzOAQ,Requiem,Bound to Divide,Coming Home / Requiem,2021-11-17,
03VvQ3Pj4ji8gRCexcdpT4,Rover,Two Are,Rover,2022-07-22,
3K1Q6LjDlTCCtjTt3THO2o,Hera,D-Formation,Ares Hera,2021-08-05,
5x6sZ6mz23tTf7lCCa7F7A,Azurblau,GIGEE,Berlin,2022-03-11,
0yqNGfESkxfNgc11ouwykd,Delta,Moonwalk,Solaris - EP,2021-02-19,
67AR810Gy2uPXTtQPuYW2Z,Binary,Passenger 10,Binary,2022-12-16,
5U7LGWuifQ0agJ8kWoJ0ra,Power of Universe,Moonwalk,Power of Universe,2022-11-11,
1QWj9NYh8ZcSugtyBhSIea,Concorde,Miss Monique,Concorde,2023-01-19,
23WSd4TMp2ar1GRxa0WZQG,Ingern,Yotto,Odd Ones V2,2022-12-08,
2fY9O2PpELY5hubBbC2zEG,Pantheon,Argy,Pantheon,2023-01-13,
5joBjODoRwhq4Y9HbnFuhw,Tribute To Orange Clouds,Ida Engberg,Tribute To Orange Clouds,2023-01-27,
0vlauZfceQ2eiuqwDMf1jb,Rush - Miss Monique Remix,Sied Van Riel,Rush (Miss Monique Remix),2022-04-08,
4ZaQk7PJO0IdqpDJk8krfD,Excommunication - Original Mix,Erkka,Excommunication / Air Conditioner,2013-07-01,
30K3cajnMqH5Q1xZgWekes,Mcassey,Jey Kurmis,Demello EP,2017-08-04,
3YMDVPa0ZObKcQBBGyY5Rh,Careless,Matt Fax,Careless / Huntdown,2016-05-20,
3nsH8TL1UoYWbBgeA47Rls,Skin Deep - Global Communication Remix,Dusky,Anjunadeep 07,2015-09-11,
1UnYcIamObP0LV4n1WbNgu,luxuria (ov) - Tinlicker Remix,deadmau5,here's the drop!,2019-10-04,
5pDlc5Kyr5f8dKEzxBIJ1P,Hundred,2pole,2wo,2019-07-29,
7td77R6MNM1GL3nh7QQ0KH,Falling,Joseph Ashworth,Falling EP,2017-09-15,
4ELAizRil7NxbPCROyw8oW,Stuck,Matt Fax,Enhanced Deep House Essentials,2016-03-25,
5CnppVNwpJFQ2ipau6OCQY,Whiterock,Danny Howells,Whiterock EP,2018-05-28,
1ouUKlviYOWl5yOi3dUcAJ,Fire Walk,Yotto,Fire Walk,2016-11-25,
0yxm0snDlf0krDiqveXPfv,Seia,Kosinski,Esperanto,2018-10-01,
4Tni0eZOEBwZ7Dd1Q4izKL,Love,Ben Lukas Boysen,Mirage,2020-05-01,
6DMDPxVQAihKhNgVWsDmTA,Cornetto,Spada,Be Strong,2022-02-04,
0tPbbpM6Sw9q1Ru8zhvYIl,Train of Thought,Miss Monique,Train of Thought,2021-07-02,
2zMZbTBd5wSqTE0XFL70tp,Tribute,Nox Vahn,The Anjunadeep Edition 360 with James Grant,2021-07-29,
5c4gtyaea8i7H1BqRyb2Xp,Sierra,Argy,Sierra,2024-04-18,
4yxlVbgJ5OdE9ipFOSMNGP,Biosphère,Miss Monique,Biosphère,2022-10-27,
6jdaBz780wecXanS9elu68,Elamy,Miss Monique,Elamy,2022-02-11,
1h2vmAx4kUKOjMjP1xRHia,Masonic & Webster - Album Edit,Spencer Brown,Equanimity,2023-09-29,
7KNAX5vcVQpGalIP1TiQuP,Room 1.5,Joseph Ray,Room 1.5 / Chem-EX,2019-08-20,
7u0PSQmoGVnEGtzO9kK9WR,Moan - Edit,Habischman,Moan (Edit),2017-01-20,
13dzpIlhBBeZrR0LOFpfUw,Cybernova,Massano,Shut Down,2023-12-08,
7vGlHIN3gFi2UYnZTGEyER,Sogni D'oro,Durante,Enter (Deluxe),2024-11-27,
4NjCBS4wF0lFO5wbYBQuIt,Nomacita,Miss Monique,Nomacita,2025-01-10,
0LBGk4xW093mDP7u1nVAdt,Lift Me Up,Lucas & Steve,Lift Me Up,2025-01-24,
1Hz5ZPQxC6esErNVN4cxr6,Bloom At Night,Miss Monique,Bloom At Night,2024-03-22,
